GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coding Test,com.store.model,ErrorResponseBody,0,31,0,0,0,13,0,9,0,9
Coding Test,com.store.model,ProductId,0,10,0,0,0,4,0,3,0,3
Coding Test,com.store.model,ProductType,3,39,0,0,1,8,1,2,1,2
Coding Test,com.store.model,StringOnlyDeserializer,0,18,0,2,0,4,0,3,0,2
Coding Test,com.store.model,ProductDetails,27,31,0,0,1,13,1,9,1,9
Coding Test,com.store.model,Product,0,38,0,0,0,16,0,11,0,11
Coding Test,com.store.controllers,Products,0,3,0,0,0,2,0,1,0,1
Coding Test,com.store.controllers,ProductsController,5,113,3,5,1,29,3,5,0,4
Coding Test,com.store,MainAppKt,12,0,0,0,2,0,1,0,1,0
Coding Test,com.store,Application,0,3,0,0,0,2,0,1,0,1
Coding Test,com.store.service,ProductsService,0,96,0,6,0,22,0,6,0,3
